id,name,location,home_order,description
1,Novapro,Hàn Quốc,1,
2,Hamilton,Anh,2,
3,Nabertherm,Đức,3,
4,Elma,Đức,4,
5,Ika,Đức,5,
6,Binder,Đức,6,
7,Hettich,Đức,7,
8,Memmert,Đức,8,
9,Kruss,Đức,9,
10,Metone,Mỹ,10,
11,Wildco,Mỹ,11,
12,Extech,Mỹ,12,
13,Evermed,Italia,13,
14,Hanna,Italia,14,
15,Optika,Italia,15,
16,Shimadzu,Nhật Bản,16,
17,Panasonic,Nhật,17,
18,Atago,Nhật,18,
19,Labtech,Hàn Quốc,19,
20,Daihan,Hàn Quốc,20,
21,Sturdy,Đài Loan,21,
22,Taisite,Kewei,22,
23,Ohaus,Mỹ,23,
24,Biobase,,24,
25,Carbolite,Anh,25,
26,Fengling,Thượng Hải,26,
27,Labomed,Mỹ,27,
28,Staplex,Mỹ,28,
29,Interscience,Pháp,29,
30,Olympus,Nhật,30,
31,Martini,Rumani,31,
32,Esco,Singapore,32,
33,Wenzhou Tripod,,33,
34,Carl Zeiss,Đức,34,
35,Hãng khác,,35,
